Starting/resuming at k=0, theta=[50.0, 50.0]
iter 36/200 c_k=17.41 a_k=1.60 delta=[1, -1] plus=[67.4, 32.6] minus=[32.6, 67.4] score=0.625 (n=12) -> theta=[50.0, 50.0] [13s]
iter 37/200 c_k=17.36 a_k=1.58 delta=[1, -1] plus=[67.4, 32.6] minus=[32.6, 67.3] score=0.667 (n=12) -> theta=[50.0, 50.0] [13s]
iter 38/200 c_k=17.31 a_k=1.56 delta=[-1, -1] plus=[32.7, 32.6] minus=[67.3, 67.3] score=0.792 (n=12) -> theta=[50.0, 49.9] [12s]
iter 39/200 c_k=17.27 a_k=1.55 delta=[1, -1] plus=[67.3, 32.7] minus=[32.7, 67.2] score=0.417 (n=12) -> theta=[50.0, 49.9] [12s]
iter 40/200 c_k=17.22 a_k=1.53 delta=[-1, 1] plus=[32.8, 67.2] minus=[67.2, 32.7] score=0.542 (n=12) -> theta=[50.0, 49.9] [13s]
iter 41/200 c_k=17.18 a_k=1.52 delta=[-1, 1] plus=[32.8, 67.1] minus=[67.2, 32.8] score=0.542 (n=12) -> theta=[50.0, 50.0] [14s]
iter 42/200 c_k=17.14 a_k=1.50 delta=[-1, 1] plus=[32.8, 67.1] minus=[67.1, 32.8] score=0.583 (n=12) -> theta=[50.0, 50.0] [13s]
iter 43/200 c_k=17.10 a_k=1.49 delta=[-1, 1] plus=[32.9, 67.1] minus=[67.1, 32.9] score=0.417 (n=12) -> theta=[50.0, 50.0] [15s]
iter 44/200 c_k=17.06 a_k=1.47 delta=[1, 1] plus=[67.0, 67.0] minus=[32.9, 32.9] score=0.583 (n=12) -> theta=[50.0, 50.0] [15s]
iter 45/200 c_k=17.02 a_k=1.46 delta=[-1, 1] plus=[33.0, 67.0] minus=[67.0, 32.9] score=0.417 (n=12) -> theta=[50.0, 50.0] [14s]
iter 46/200 c_k=16.98 a_k=1.45 delta=[-1, -1] plus=[33.0, 33.0] minus=[67.0, 66.9] score=0.500 (n=12) -> theta=[50.0, 50.0] [15s]
iter 47/200 c_k=16.95 a_k=1.43 delta=[1, -1] plus=[66.9, 33.0] minus=[33.0, 66.9] score=0.375 (n=12) -> theta=[50.0, 50.0] [17s]
iter 48/200 c_k=16.91 a_k=1.42 delta=[-1, -1] plus=[33.1, 33.1] minus=[66.9, 66.9] score=0.417 (n=12) -> theta=[50.0, 50.0] [13s]
iter 49/200 c_k=16.87 a_k=1.41 delta=[-1, 1] plus=[33.1, 66.8] minus=[66.9, 33.1] score=0.458 (n=12) -> theta=[50.0, 50.0] [12s]
iter 50/200 c_k=16.84 a_k=1.39 delta=[-1, 1] plus=[33.1, 66.8] minus=[66.8, 33.1] score=0.583 (n=12) -> theta=[50.0, 50.0] [12s]
iter 51/200 c_k=16.81 a_k=1.38 delta=[-1, -1] plus=[33.2, 33.2] minus=[66.8, 66.8] score=0.292 (n=12) -> theta=[50.0, 50.0] [11s]
iter 52/200 c_k=16.77 a_k=1.37 delta=[1, 1] plus=[66.8, 66.8] minus=[33.2, 33.2] score=0.500 (n=12) -> theta=[50.0, 50.0] [16s]
iter 53/200 c_k=16.74 a_k=1.36 delta=[1, 1] plus=[66.7, 66.7] minus=[33.3, 33.2] score=0.417 (n=12) -> theta=[50.0, 50.0] [10s]
iter 54/200 c_k=16.71 a_k=1.35 delta=[1, 1] plus=[66.7, 66.7] minus=[33.3, 33.3] score=0.542 (n=12) -> theta=[50.0, 50.0] [10s]
iter 55/200 c_k=16.68 a_k=1.34 delta=[1, -1] plus=[66.7, 33.3] minus=[33.3, 66.7] score=0.458 (n=12) -> theta=[50.0, 50.0] [10s]
