elo,avg_cp_loss,blunders,n_moves,mate_misses,result
500,1.8,0,13,0,1-0
543,22.7,0,51,0,0-1
586,34.5,0,35,0,0-1
629,28.4,0,62,0,0-1
671,26.1,0,48,0,0-1
714,25.5,0,24,0,0-1
757,166.2,1,60,0,0-1
800,295.1,1,34,0,0-1
843,354.9,1,28,0,0-1
886,20.7,0,69,0,0-1
929,43.1,1,29,0,0-1
971,33.0,0,48,0,0-1
1014,381.3,1,27,0,0-1
1057,18.6,0,57,0,0-1
1100,20.2,0,72,0,0-1
1143,169.3,1,60,0,0-1
1186,30.3,0,39,0,0-1
1229,25.9,1,53,0,0-1
1271,23.8,0,45,0,0-1
1314,18.6,0,68,0,0-1
1357,22.7,1,57,0,0-1
1400,30.5,0,34,0,0-1
1443,269.1,1,37,0,0-1
1486,31.4,1,39,0,0-1
1529,137.2,1,75,0,0-1
1571,191.6,1,53,0,0-1
1614,374.5,1,27,0,0-1
1657,19.6,0,64,0,0-1
1700,22.4,0,25,0,1/2-1/2
1743,34.2,1,37,0,0-1
1786,247.2,1,39,0,0-1
1829,54.6,1,27,0,0-1
1871,20.3,0,59,0,0-1
1914,30.0,0,41,0,0-1
1957,15.9,0,62,0,0-1
2000,254.9,1,38,0,0-1
2043,26.9,0,56,0,0-1
2086,33.8,0,28,0,0-1
2129,601.2,1,34,2,1-0
2171,19.0,0,39,0,1-0
2214,21.5,0,61,0,0-1
2257,319.9,1,32,0,0-1
2300,191.5,1,53,0,0-1
2343,26.0,0,48,0,0-1
2386,286.0,1,35,0,0-1
2429,233.8,2,45,0,0-1
2471,171.4,1,58,0,0-1
2514,335.7,1,30,0,0-1
2557,30.8,1,51,0,0-1
2600,8.2,0,33,2,1-0
2643,496.1,3,55,0,0-1
2686,29.0,1,54,0,0-1
2729,353.9,1,28,0,0-1
2771,198.5,1,49,0,0-1
2814,278.9,1,35,0,0-1
2857,16.7,0,66,0,0-1
2900,8.1,0,15,0,1/2-1/2
2943,212.1,2,48,0,0-1
2986,29.8,0,36,0,0-1
3029,23.6,0,61,0,0-1
3071,20.9,0,57,0,0-1
3114,401.2,1,25,0,0-1
3157,144.0,2,71,0,0-1
3200,571.5,2,18,0,0-1
