Starting/resuming at k=0, theta=[50.0, 50.0]
iter 70/200 c_k=16.28 a_k=1.20 delta=[-1, -1] plus=[33.7, 33.7] minus=[66.2, 66.3] score=0.625 (n=12) -> theta=[49.9, 50.0] [1420s]
iter 71/200 c_k=16.25 a_k=1.19 delta=[1, -1] plus=[66.2, 33.8] minus=[33.7, 66.3] score=0.458 (n=12) -> theta=[49.9, 50.0] [16s]
iter 72/200 c_k=16.23 a_k=1.18 delta=[1, 1] plus=[66.2, 66.2] minus=[33.7, 33.8] score=0.500 (n=12) -> theta=[49.9, 50.0] [9s]
iter 73/200 c_k=16.21 a_k=1.18 delta=[1, -1] plus=[66.2, 33.8] minus=[33.7, 66.2] score=0.417 (n=12) -> theta=[49.9, 50.0] [15s]
iter 74/200 c_k=16.19 a_k=1.17 delta=[-1, 1] plus=[33.8, 66.2] minus=[66.1, 33.8] score=0.417 (n=12) -> theta=[49.9, 50.0] [14s]
iter 75/200 c_k=16.16 a_k=1.16 delta=[1, -1] plus=[66.1, 33.9] minus=[33.8, 66.2] score=0.417 (n=12) -> theta=[49.9, 50.0] [14s]
iter 76/200 c_k=16.14 a_k=1.15 delta=[-1, 1] plus=[33.8, 66.2] minus=[66.1, 33.9] score=0.542 (n=12) -> theta=[49.9, 50.0] [12s]
iter 77/200 c_k=16.12 a_k=1.15 delta=[-1, 1] plus=[33.8, 66.1] minus=[66.1, 33.9] score=0.333 (n=12) -> theta=[49.9, 50.0] [9s]
iter 78/200 c_k=16.10 a_k=1.14 delta=[-1, 1] plus=[33.8, 66.1] minus=[66.0, 33.9] score=0.333 (n=12) -> theta=[50.0, 50.0] [12s]
iter 79/200 c_k=16.08 a_k=1.13 delta=[-1, -1] plus=[33.9, 33.9] minus=[66.0, 66.1] score=0.375 (n=12) -> theta=[50.0, 50.0] [12s]
iter 80/200 c_k=16.06 a_k=1.13 delta=[1, 1] plus=[66.0, 66.1] minus=[33.9, 34.0] score=0.458 (n=12) -> theta=[50.0, 50.0] [14s]
iter 81/200 c_k=16.04 a_k=1.12 delta=[-1, 1] plus=[33.9, 66.0] minus=[66.0, 34.0] score=0.708 (n=12) -> theta=[49.9, 50.0] [12s]
iter 82/200 c_k=16.02 a_k=1.11 delta=[1, -1] plus=[66.0, 34.0] minus=[33.9, 66.0] score=0.417 (n=12) -> theta=[49.9, 50.0] [12s]
iter 83/200 c_k=16.00 a_k=1.11 delta=[1, 1] plus=[65.9, 66.0] minus=[33.9, 34.0] score=0.458 (n=12) -> theta=[49.9, 50.0] [10s]
iter 84/200 c_k=15.98 a_k=1.10 delta=[1, -1] plus=[65.9, 34.0] minus=[34.0, 66.0] score=0.333 (n=12) -> theta=[49.9, 50.0] [14s]
iter 85/200 c_k=15.96 a_k=1.09 delta=[-1, 1] plus=[34.0, 66.0] minus=[65.9, 34.1] score=0.417 (n=12) -> theta=[49.9, 50.0] [14s]
iter 86/200 c_k=15.94 a_k=1.09 delta=[1, -1] plus=[65.9, 34.1] minus=[34.0, 66.0] score=0.458 (n=12) -> theta=[49.9, 50.0] [14s]
iter 87/200 c_k=15.92 a_k=1.08 delta=[-1, 1] plus=[34.0, 66.0] minus=[65.9, 34.1] score=0.500 (n=12) -> theta=[49.9, 50.0] [12s]
iter 88/200 c_k=15.91 a_k=1.07 delta=[1, -1] plus=[65.8, 34.1] minus=[34.0, 65.9] score=0.292 (n=12) -> theta=[49.9, 50.0] [11s]
iter 89/200 c_k=15.89 a_k=1.07 delta=[1, 1] plus=[65.8, 65.9] minus=[34.0, 34.2] score=0.333 (n=12) -> theta=[49.9, 50.0] [12s]
iter 90/200 c_k=15.87 a_k=1.06 delta=[-1, -1] plus=[34.0, 34.2] minus=[65.8, 65.9] score=0.542 (n=12) -> theta=[49.9, 50.0] [10s]
iter 91/200 c_k=15.85 a_k=1.06 delta=[1, 1] plus=[65.8, 65.9] minus=[34.1, 34.2] score=0.583 (n=12) -> theta=[49.9, 50.0] [12s]
iter 92/200 c_k=15.83 a_k=1.05 delta=[-1, 1] plus=[34.1, 65.9] minus=[65.7, 34.2] score=0.417 (n=12) -> theta=[49.9, 50.0] [16s]
iter 93/200 c_k=15.82 a_k=1.05 delta=[-1, -1] plus=[34.1, 34.2] minus=[65.7, 65.9] score=0.667 (n=12) -> theta=[49.9, 50.0] [13s]
iter 94/200 c_k=15.80 a_k=1.04 delta=[1, 1] plus=[65.7, 65.8] minus=[34.1, 34.2] score=0.417 (n=12) -> theta=[49.9, 50.0] [14s]
iter 95/200 c_k=15.78 a_k=1.03 delta=[-1, -1] plus=[34.1, 34.2] minus=[65.7, 65.8] score=0.250 (n=12) -> theta=[49.9, 50.0] [17s]
iter 96/200 c_k=15.77 a_k=1.03 delta=[1, -1] plus=[65.7, 34.3] minus=[34.1, 65.8] score=0.625 (n=12) -> theta=[49.9, 50.0] [18s]
iter 97/200 c_k=15.75 a_k=1.02 delta=[-1, -1] plus=[34.2, 34.3] minus=[65.7, 65.8] score=0.542 (n=12) -> theta=[49.9, 50.0] [10s]
iter 98/200 c_k=15.73 a_k=1.02 delta=[1, -1] plus=[65.7, 34.3] minus=[34.2, 65.8] score=0.458 (n=12) -> theta=[49.9, 50.0] [12s]
iter 99/200 c_k=15.72 a_k=1.01 delta=[-1, 1] plus=[34.2, 65.7] minus=[65.6, 34.3] score=0.667 (n=12) -> theta=[49.9, 50.0] [14s]
iter 100/200 c_k=15.70 a_k=1.01 delta=[-1, 1] plus=[34.2, 65.7] minus=[65.6, 34.3] score=0.208 (n=12) -> theta=[49.9, 50.0] [12s]
iter 101/200 c_k=15.69 a_k=1.00 delta=[1, 1] plus=[65.6, 65.7] minus=[34.2, 34.3] score=0.458 (n=12) -> theta=[49.9, 50.0] [10s]
iter 102/200 c_k=15.67 a_k=1.00 delta=[-1, -1] plus=[34.3, 34.3] minus=[65.6, 65.7] score=0.708 (n=12) -> theta=[49.9, 50.0] [12s]
iter 103/200 c_k=15.65 a_k=0.99 delta=[1, -1] plus=[65.6, 34.3] minus=[34.3, 65.7] score=0.583 (n=12) -> theta=[49.9, 50.0] [12s]
iter 104/200 c_k=15.64 a_k=0.99 delta=[1, 1] plus=[65.6, 65.6] minus=[34.3, 34.4] score=0.542 (n=12) -> theta=[49.9, 50.0] [14s]
iter 105/200 c_k=15.62 a_k=0.98 delta=[-1, 1] plus=[34.3, 65.6] minus=[65.5, 34.4] score=0.667 (n=12) -> theta=[49.9, 50.0] [15s]
iter 106/200 c_k=15.61 a_k=0.98 delta=[-1, -1] plus=[34.3, 34.4] minus=[65.5, 65.6] score=0.417 (n=12) -> theta=[49.9, 50.0] [11s]
iter 107/200 c_k=15.59 a_k=0.97 delta=[-1, -1] plus=[34.3, 34.4] minus=[65.5, 65.6] score=0.208 (n=12) -> theta=[49.9, 50.0] [14s]
iter 108/200 c_k=15.58 a_k=0.97 delta=[1, -1] plus=[65.5, 34.5] minus=[34.4, 65.6] score=0.542 (n=12) -> theta=[49.9, 50.0] [11s]
iter 109/200 c_k=15.57 a_k=0.97 delta=[1, 1] plus=[65.5, 65.6] minus=[34.4, 34.5] score=0.333 (n=12) -> theta=[49.9, 50.0] [11s]
iter 110/200 c_k=15.55 a_k=0.96 delta=[-1, 1] plus=[34.4, 65.6] minus=[65.5, 34.5] score=0.583 (n=12) -> theta=[49.9, 50.0] [14s]
iter 111/200 c_k=15.54 a_k=0.96 delta=[1, 1] plus=[65.5, 65.6] minus=[34.4, 34.5] score=0.500 (n=12) -> theta=[49.9, 50.0] [14s]
iter 112/200 c_k=15.52 a_k=0.95 delta=[-1, 1] plus=[34.4, 65.5] minus=[65.4, 34.5] score=0.417 (n=12) -> theta=[49.9, 50.0] [12s]
iter 113/200 c_k=15.51 a_k=0.95 delta=[-1, -1] plus=[34.4, 34.5] minus=[65.4, 65.5] score=0.375 (n=12) -> theta=[49.9, 50.0] [12s]
iter 114/200 c_k=15.50 a_k=0.94 delta=[-1, 1] plus=[34.4, 65.5] minus=[65.4, 34.5] score=0.583 (n=12) -> theta=[49.9, 50.0] [11s]
iter 115/200 c_k=15.48 a_k=0.94 delta=[1, 1] plus=[65.4, 65.5] minus=[34.4, 34.6] score=0.375 (n=12) -> theta=[49.9, 50.0] [12s]
iter 116/200 c_k=15.47 a_k=0.94 delta=[1, -1] plus=[65.4, 34.6] minus=[34.4, 65.5] score=0.375 (n=12) -> theta=[49.9, 50.0] [16s]
iter 117/200 c_k=15.45 a_k=0.93 delta=[-1, -1] plus=[34.5, 34.6] minus=[65.4, 65.5] score=0.500 (n=12) -> theta=[49.9, 50.0] [11s]
iter 118/200 c_k=15.44 a_k=0.93 delta=[1, -1] plus=[65.4, 34.6] minus=[34.5, 65.5] score=0.667 (n=12) -> theta=[49.9, 50.0] [12s]
iter 119/200 c_k=15.43 a_k=0.92 delta=[1, -1] plus=[65.3, 34.6] minus=[34.5, 65.5] score=0.542 (n=12) -> theta=[49.9, 50.0] [11s]
iter 120/200 c_k=15.41 a_k=0.92 delta=[1, 1] plus=[65.3, 65.4] minus=[34.5, 34.6] score=0.458 (n=12) -> theta=[49.9, 50.0] [11s]
iter 121/200 c_k=15.40 a_k=0.92 delta=[-1, 1] plus=[34.5, 65.4] minus=[65.3, 34.6] score=0.417 (n=12) -> theta=[49.9, 50.0] [15s]
iter 122/200 c_k=15.39 a_k=0.91 delta=[-1, -1] plus=[34.5, 34.6] minus=[65.3, 65.4] score=0.667 (n=12) -> theta=[49.9, 50.0] [13s]
iter 123/200 c_k=15.38 a_k=0.91 delta=[-1, 1] plus=[34.5, 65.4] minus=[65.3, 34.6] score=0.667 (n=12) -> theta=[49.9, 50.0] [13s]
iter 124/200 c_k=15.36 a_k=0.90 delta=[1, -1] plus=[65.3, 34.6] minus=[34.5, 65.4] score=0.542 (n=12) -> theta=[49.9, 50.0] [14s]
iter 125/200 c_k=15.35 a_k=0.90 delta=[1, 1] plus=[65.3, 65.4] minus=[34.6, 34.7] score=0.375 (n=12) -> theta=[49.9, 50.0] [11s]
iter 126/200 c_k=15.34 a_k=0.90 delta=[1, -1] plus=[65.2, 34.7] minus=[34.6, 65.3] score=0.542 (n=12) -> theta=[49.9, 50.0] [13s]
iter 127/200 c_k=15.33 a_k=0.89 delta=[-1, 1] plus=[34.6, 65.3] minus=[65.2, 34.7] score=0.625 (n=12) -> theta=[49.9, 50.0] [13s]
iter 128/200 c_k=15.31 a_k=0.89 delta=[-1, 1] plus=[34.6, 65.3] minus=[65.2, 34.7] score=0.667 (n=12) -> theta=[49.9, 50.0] [13s]
iter 129/200 c_k=15.30 a_k=0.89 delta=[-1, -1] plus=[34.6, 34.7] minus=[65.2, 65.3] score=0.458 (n=12) -> theta=[49.9, 50.0] [14s]
iter 130/200 c_k=15.29 a_k=0.88 delta=[-1, -1] plus=[34.6, 34.7] minus=[65.2, 65.3] score=0.458 (n=12) -> theta=[49.9, 50.0] [10s]
iter 131/200 c_k=15.28 a_k=0.88 delta=[1, -1] plus=[65.2, 34.7] minus=[34.6, 65.3] score=0.375 (n=12) -> theta=[49.9, 50.0] [16s]
iter 132/200 c_k=15.27 a_k=0.87 delta=[-1, -1] plus=[34.6, 34.8] minus=[65.2, 65.3] score=0.792 (n=12) -> theta=[49.9, 50.0] [9s]
iter 133/200 c_k=15.26 a_k=0.87 delta=[1, -1] plus=[65.1, 34.8] minus=[34.6, 65.3] score=0.500 (n=12) -> theta=[49.9, 50.0] [10s]
iter 134/200 c_k=15.24 a_k=0.87 delta=[-1, 1] plus=[34.6, 65.3] minus=[65.1, 34.8] score=0.542 (n=12) -> theta=[49.9, 50.0] [13s]
iter 135/200 c_k=15.23 a_k=0.86 delta=[-1, -1] plus=[34.6, 34.8] minus=[65.1, 65.2] score=0.333 (n=12) -> theta=[49.9, 50.0] [12s]
iter 136/200 c_k=15.22 a_k=0.86 delta=[-1, 1] plus=[34.7, 65.2] minus=[65.1, 34.8] score=0.708 (n=12) -> theta=[49.9, 50.0] [11s]
iter 137/200 c_k=15.21 a_k=0.86 delta=[-1, -1] plus=[34.7, 34.8] minus=[65.1, 65.2] score=0.458 (n=12) -> theta=[49.9, 50.0] [16s]
iter 138/200 c_k=15.20 a_k=0.85 delta=[1, -1] plus=[65.1, 34.8] minus=[34.7, 65.2] score=0.458 (n=12) -> theta=[49.9, 50.0] [12s]
iter 139/200 c_k=15.19 a_k=0.85 delta=[-1, -1] plus=[34.7, 34.9] minus=[65.0, 65.2] score=0.542 (n=12) -> theta=[49.9, 50.0] [14s]
iter 140/200 c_k=15.18 a_k=0.85 delta=[1, 1] plus=[65.0, 65.2] minus=[34.7, 34.9] score=0.333 (n=12) -> theta=[49.9, 50.0] [12s]
iter 141/200 c_k=15.17 a_k=0.84 delta=[1, -1] plus=[65.0, 34.9] minus=[34.7, 65.2] score=0.458 (n=12) -> theta=[49.8, 50.0] [12s]
iter 142/200 c_k=15.16 a_k=0.84 delta=[-1, -1] plus=[34.7, 34.9] minus=[65.0, 65.2] score=0.625 (n=12) -> theta=[49.8, 50.0] [11s]
iter 143/200 c_k=15.14 a_k=0.84 delta=[-1, 1] plus=[34.7, 65.2] minus=[65.0, 34.9] score=0.500 (n=12) -> theta=[49.8, 50.0] [14s]
iter 144/200 c_k=15.13 a_k=0.84 delta=[-1, 1] plus=[34.7, 65.2] minus=[65.0, 34.9] score=0.792 (n=12) -> theta=[49.8, 50.0] [15s]
iter 145/200 c_k=15.12 a_k=0.83 delta=[1, 1] plus=[64.9, 65.2] minus=[34.7, 34.9] score=0.500 (n=12) -> theta=[49.8, 50.0] [10s]
iter 146/200 c_k=15.11 a_k=0.83 delta=[-1, -1] plus=[34.7, 34.9] minus=[64.9, 65.2] score=0.667 (n=12) -> theta=[49.8, 50.0] [13s]
iter 147/200 c_k=15.10 a_k=0.83 delta=[-1, 1] plus=[34.7, 65.1] minus=[64.9, 34.9] score=0.750 (n=12) -> theta=[49.8, 50.0] [14s]
iter 148/200 c_k=15.09 a_k=0.82 delta=[1, 1] plus=[64.9, 65.1] minus=[34.7, 35.0] score=0.458 (n=12) -> theta=[49.8, 50.0] [13s]
iter 149/200 c_k=15.08 a_k=0.82 delta=[-1, -1] plus=[34.7, 35.0] minus=[64.9, 65.1] score=0.542 (n=12) -> theta=[49.8, 50.0] [11s]
iter 150/200 c_k=15.07 a_k=0.82 delta=[-1, 1] plus=[34.7, 65.1] minus=[64.9, 35.0] score=0.250 (n=12) -> theta=[49.8, 50.0] [10s]
iter 151/200 c_k=15.06 a_k=0.81 delta=[-1, 1] plus=[34.7, 65.1] minus=[64.9, 35.0] score=0.375 (n=12) -> theta=[49.8, 50.0] [10s]
iter 152/200 c_k=15.05 a_k=0.81 delta=[-1, -1] plus=[34.8, 35.0] minus=[64.9, 65.1] score=0.583 (n=12) -> theta=[49.8, 50.0] [9s]
iter 153/200 c_k=15.04 a_k=0.81 delta=[1, -1] plus=[64.9, 35.0] minus=[34.8, 65.1] score=0.708 (n=12) -> theta=[49.8, 50.0] [12s]
iter 154/200 c_k=15.03 a_k=0.81 delta=[1, 1] plus=[64.9, 65.0] minus=[34.8, 35.0] score=0.583 (n=12) -> theta=[49.8, 50.0] [10s]
iter 155/200 c_k=15.02 a_k=0.80 delta=[-1, 1] plus=[34.8, 65.0] minus=[64.9, 35.0] score=0.500 (n=12) -> theta=[49.8, 50.0] [9s]
